city,state,latitude,longitude,parameter,value,unit,date,source
Delhi,Delhi,28.56640107552227,77.18650293183691,pm25,85.24,µg/m³,2023-01-01,OpenAQ/CPCB
Delhi,Delhi,28.637547121416404,77.2266699487423,pm25,61.82,µg/m³,2023-01-31,OpenAQ/CPCB
Delhi,Delhi,28.572593883262943,77.20119218196854,pm25,55.26,µg/m³,2023-03-02,OpenAQ/CPCB
Delhi,Delhi,28.58576379748036,77.20953552881033,pm25,28.29,µg/m³,2023-04-01,OpenAQ/CPCB
Delhi,Delhi,28.583783765068667,77.22398844377796,pm25,28.19,µg/m³,2023-05-01,OpenAQ/CPCB
Delhi,Delhi,28.58594406220407,77.2179265683876,pm25,44.4,µg/m³,2023-05-31,OpenAQ/CPCB
Delhi,Delhi,28.564549875967806,77.23958192518329,pm25,52.67,µg/m³,2023-06-30,OpenAQ/CPCB
Delhi,Delhi,28.5979250516518,77.17454794998118,pm25,49.19,µg/m³,2023-07-30,OpenAQ/CPCB
Delhi,Delhi,28.597559454511263,77.16827458433802,pm25,57.3,µg/m³,2023-08-29,OpenAQ/CPCB
Delhi,Delhi,28.64864943663475,77.21937260313669,pm25,30.39,µg/m³,2023-09-28,OpenAQ/CPCB
Delhi,Delhi,28.636873178669383,77.21262280914547,pm25,94.68,µg/m³,2023-10-28,OpenAQ/CPCB
Delhi,Delhi,28.601753437720838,77.21420406312733,pm25,104.03,µg/m³,2023-11-27,OpenAQ/CPCB
Delhi,Delhi,28.625751975236426,77.24517069003107,no2,53.3,µg/m³,2023-01-01,OpenAQ/CPCB
Delhi,Delhi,28.634357183621493,77.16358243836557,no2,45.42,µg/m³,2023-01-31,OpenAQ/CPCB
Delhi,Delhi,28.592838796360212,77.16697919769237,no2,19.16,µg/m³,2023-03-02,OpenAQ/CPCB
Delhi,Delhi,28.574000142940974,77.18679736031102,no2,19.25,µg/m³,2023-04-01,OpenAQ/CPCB
Delhi,Delhi,28.600383217897008,77.1960180967117,no2,26.25,µg/m³,2023-05-01,OpenAQ/CPCB
Delhi,Delhi,28.590597782204913,77.25266545877125,no2,18.84,µg/m³,2023-05-31,OpenAQ/CPCB
